name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Pseudoflavonifractor,148,127,191
Lawsonibacter,139,121,161
Caproicibacterium,136,103,130
Anaerotruncus,124,139,129
Owariibacterium,79,87,99
Pusillibacter,70,81,68
Thermocaproicibacter,67,76,50
Petroclostridium,54,47,50
Thermoclostridium,44,49,27
Mageeibacillus,42,17,20
Solibaculum,39,38,41
Acetivibrio,32,40,28
Ruminiclostridium,23,21,22
Amygdalobacter,16,18,19
Bengtsoniella,16,8,13
Dysosmobacter,5,9,9
Paludihabitans,3,5,1
Fastidiosipila,2,4,3
Thermaerobacter,2805,2819,2748
Sulfobacillus,2,2,1
Intestinimonas,190,180,173
Flintibacter,82,85,81
Massilistercora,66,73,69
Carboxydocella,36,76,36
Proteiniborus,6,5,11
Fenollaria,4,11,9
Caldinitratiruptor,1441,1415,1397
Symbiobacterium,909,924,931
Clostridium,600,592,615
Proteiniclasticum,76,54,49
Caloramator,48,38,37
Candidatus Arthromitus,48,23,38
Haloimpatiens,37,27,26
Oceanirhabdus,20,12,11
Lactonifactor,14,24,26
Crassaminicella,9,12,11
Sarcina,3,3,1
Hathewaya,1,2,1
Desulfofundulus,121,90,111
Acididesulfobacillus,90,81,103
Desulforamulus,84,97,98
Candidatus Formimonas,61,59,48
Thermanaerosceptrum,32,18,36
Phosphitispora,23,16,14
Desulfofarcimen,18,25,23
Dehalobacterium,16,18,15
Desulfitobacterium,111,122,98
Desulfosporosinus,107,101,99
Dehalobacter,81,71,77
Syntrophobotulus,53,37,26
Acutalibacter,100,93,128
Caproiciproducens,93,96,138
Caproicibacter,81,90,91
Agathobaculum,197,199,221
Intestinibacillus,16,10,13
Heliomicrobium,257,241,265
Heliorestis,37,23,14
Eubacterium,164,194,206
Acetobacterium,85,91,94
Alkalibacter,30,29,30
Anaerofustis,3,7,5
Aristaeella,205,179,180
Maliibacterium,195,251,279
Desulfoscipio,157,152,138
Syntrophothermus,42,48,38
Syntrophomonas,11,13,17
Candidatus Syntrophocurvum,3,NA,2
Desulfotomaculum,25,21,20
Thermincola,25,15,18
Proteinivorax,13,12,20
Alkalicella,6,1,5
Enterocloster,418,423,398
Chordicoccus,160,132,176
Blautia,160,173,183
Hungatella,123,126,124
Lachnoclostridium,112,113,127
Lacrimispora,88,103,105
Anaerocolumna,85,78,122
Roseburia,81,82,117
Marvinbryantia,72,74,90
Mediterraneibacter,71,72,106
Stomatobaculum,64,64,92
Anaerostipes,57,68,80
Sellimonas,52,50,52
Butyrivibrio,43,36,36
Wansuia,37,53,38
Coprococcus,35,39,56
Dorea,34,47,37
Kineothrix,31,18,26
Eisenbergiella,31,36,27
Qiania,30,28,17
Simiaoa,27,21,15
Claveliimonas,23,17,22
Novisyntrophococcus,18,13,12
Anaeropeptidivorans,16,12,8
Anaeromicropila,15,3,4
Herbinix,14,14,5
Agathobacter,13,13,5
Anaerobutyricum,11,18,11
Wujia,9,12,12
Faecalimonas,7,17,15
Tyzzerella,7,2,5
Lachnoanaerobaculum,4,2,5
Chakrabartyella,4,4,2
Candidatus Epulonipiscium,3,12,5
Lachnospira,2,1,5
Pseudobutyrivibrio,1,3,12
Eshraghiella,1,NA,4
Vallitalea,9,8,13
Petrocella,8,7,9
Anaerotignum,16,14,11
Cellulosilyticum,6,6,10
Defluviitalea,1,3,5
Gelria,329,308,323
Ammonifex,163,137,133
Thermacetogenium,109,142,127
Thermoanaerobacterium,41,33,41
Thermoanaerobacter,32,30,27
Carboxydothermus,22,28,26
Caldanaerobacter,22,30,17
Aceticella,9,5,10
Candidatus Desulforudis,319,355,259
Mahella,41,26,34
Moorella,648,618,691
Thermanaeromonas,49,44,40
Zhaonella,31,30,27
Metallumcola,30,24,22
Romboutsia,45,73,41
Terrisporobacter,45,24,31
Clostridioides,39,29,31
Paraclostridium,26,34,23
Peptacetobacter,20,21,21
Tepidibacter,3,6,9
Intestinibacter,1,2,4
Peptostreptococcus,NA,1,4
Emergencia,52,64,62
Aminipila,26,53,35
Mogibacterium,13,15,10
Anoxybacterium,12,11,22
Sinanaerobacter,3,5,7
Alkaliphilus,20,41,35
Serpentinicella,NA,6,NA
Filifactor,8,10,5
Acetoanaerobium,5,2,6
Geosporobacter,10,9,9
Peptoclostridium,9,17,13
Caminicella,3,8,1
Christensenella,210,161,188
Thermosediminibacter,51,59,52
Biomaibacter,42,53,44
Tepidanaerobacter,6,12,8
Anoxybacter,35,37,34
Halanaerobium,14,8,10
Halocella,4,5,7
Iocasia,NA,2,1
Natroniella,9,12,11
Acetohalobium,5,6,9
Halobacteroides,4,2,3
Halothermothrix,5,7,8
Natranaerofaba,29,46,33
Natranaerobius,8,9,13
Koleobacter,14,28,27
Helicovermis,9,8,6
Monoglobus,9,9,12
Selenomonas,1798,1749,1887
Megamonas,63,43,41
Pectinatus,3,10,7
Selenobaculum,3,6,2
Sporomusa,354,338,361
Pelosinus,49,33,52
Methylomusa,41,33,44
Megasphaera,356,361,430
Dialister,112,104,121
Veillonella,33,37,37
Acidaminococcus,143,158,176
Phascolarctobacterium,53,53,56
Geochorda,992,1155,1055
Carboxydochorda,806,816,850
Limnochorda,1157,1050,1020
Aedoeadaptatus,47,49,58
Murdochiella,46,36,44
Peptoniphilus,35,45,38
Finegoldia,21,18,20
Anaerococcus,17,28,16
Helcococcus,10,7,1
Parvimonas,8,6,6
Miniphocaeibacter,5,3,4
Tissierella,16,26,22
Gudongella,14,12,7
Acidilutibacter,14,8,8
Schnuerera,8,4,9
Keratinibaculum,6,6,3
Sporanaerobacter,11,7,4
Caloranaerobacter,5,3,1
Gottschalkia,3,13,27
Ezakiella,45,34,39
Sedimentibacter,12,10,11
Faecalibaculum,55,78,83
Allobaculum,44,44,69
Holdemania,30,32,25
Erysipelothrix,29,36,46
Longicatena,4,2,2
Amedibacterium,4,NA,5
Bulleidia,3,3,1
Intestinibaculum,3,5,3
Amedibacillus,3,NA,8
Allocoprobacillus,3,1,4
Solobacterium,2,1,6
Massilimicrobiota,1,NA,1
Catenibacterium,11,9,12
Thomasclavelia,10,4,13
Faecalibacillus,4,2,2
Tannockella,NA,3,4
Turicibacter,24,18,17
Caldicellulosiruptor,60,67,52
Candidatus Contubernalis,30,36,33
Ndongobacter,25,23,27
Synechococcus,5063,5168,5613
Cyanobium,1016,1060,1162
Prochlorococcus,180,158,152
Parasynechococcus,28,43,49
Altericista,120,96,77
Synechocystis,93,117,89
Nostoc,902,932,1052
Anabaena,50,52,55
Cylindrospermum,23,39,24
Richelia,16,3,6
Trichormus,6,9,14
Fischerella,78,71,97
Dolichospermum,40,40,34
Sphaerospermopsis,13,9,20
Okeanomitos,9,8,13
Cylindrospermopsis,7,8,7
Calothrix,69,90,85
Tolypothrix,61,53,57
Nodularia,28,30,40
Halotia,22,25,48
Anabaenopsis,8,5,5
Chlorogloeopsis,57,36,46
Brasilonema,45,46,47
Rivularia,38,31,13
Gloeobacter,1325,1274,1337
Anthocerotibacter,116,109,106
Leptolyngbya,861,906,1077
Kovacikia,143,152,135
Leptodesmis,111,88,93
Leptothermofonsia,77,66,59
Trichothermofontia,72,61,70
Trichocoleus,47,58,65
Oscillatoria,93,90,103
Oxynema,87,108,116
Koinonema,76,113,85
Phormidium,59,61,64
Planktothricoides,58,45,37
Planktothrix,42,49,40
Microcoleus,32,32,32
Trichodesmium,10,4,4
Lyngbya,1,1,NA
Capilliphycus,39,36,41
Limnospira,12,14,12
Picosynechococcus,66,101,104
Cyanobacterium,59,51,66
Geminocystis,40,42,36
Microcystis,137,119,156
Gloeothece,39,50,59
Crocosphaera,12,4,10
Rippkaea,6,8,13
Candidatus Atelocyanobacterium,3,3,6
Gloeocapsa,14,13,21
Gloeocapsopsis,13,27,21
Halothece,18,20,21
Euhalothece,8,4,10
Thermoleptolyngbya,228,229,212
Egbenema,124,96,105
Thermocoleostomius,50,52,53
Thermosynechococcus,223,208,229
Parathermosynechococcus,32,58,38
Acaryochloris,113,81,64
Nodosilinea,197,215,223
Halomicronema,116,134,130
Dactylococcopsis,20,15,20
Chroococcidiopsis,320,287,202
Geitlerinema,259,217,224
Moorena,54,50,37
Allocoleopsis,47,39,61
Pseudanabaena,97,77,77
Pleurocapsa,52,75,76
Stanieria,11,9,18
Chamaesiphon,46,50,47
Crinalium,16,16,28
Gloeomargarita,53,35,32
Tepidiforma,2321,2243,2330
Roseiflexus,1009,847,1098
Chloroflexus,441,444,482
Thermobaculum,197,191,185
Candidatus Chlorohelix,62,55,55
Candidatus Promineifilum,1167,1022,1174
Candidatus Leptofilum,301,329,348
Thermoflexus,738,744,741
Dehalogenimonas,494,470,467
Dehalococcoides,121,96,109
Candidatus Lucifugimonas,74,79,70
Caldilinea,594,493,632
Pelolinea,142,119,141
Anaerolinea,138,115,134
Brevefilum,88,68,77
Thermanaerothrix,1,2,NA
Ktedonosporobacter,255,254,238
Phototrophicus,104,119,139
Capsulimonas,761,846,948
Fimbriimonas,435,455,484
Chthonomonas,96,110,95
Vulcanimicrobium,1289,1267,1430
Spiroplasma,61,72,71
Mesoplasma,6,9,10
Entomoplasma,NA,2,NA
Williamsoniiplasma,2,2,2
Mycoplasma,53,37,59
Candidatus Hepatoplasma,1,1,3
Candidatus Phytoplasma,39,68,36
Acholeplasma,6,7,5
Mariniplasma,4,5,7
Alteracholeplasma,3,3,6
Haploplasma,3,2,7
Paracholeplasma,NA,2,3
Mycoplasmopsis,47,62,32
Metamycoplasma,28,17,21
Mesomycoplasma,27,22,33
Malacoplasma,16,21,25
Mycoplasmoides,5,9,6
Ureaplasma,4,6,10
Hujiaoplasma,7,3,1
Candidatus Xianfuyuplasma,5,3,NA
Candidatus Izemoplasma,1,4,3
Deinococcus,11161,11204,13449
Thermus,2157,2179,2127
Oceanithermus,753,773,904
Meiothermus,598,620,567
Marinithermus,536,508,479
Allomeiothermus,246,257,244
Truepera,617,664,695
Cloacibacillus,308,305,398
Aminomonas,284,276,274
Thermanaerovibrio,177,154,189
Pyramidobacter,436,425,456
Jonquetella,149,117,104
Aminithiophilus,394,307,368
Fretibacterium,268,290,307
Aminobacterium,33,19,16
Thermotoga,138,181,112
Pseudothermotoga,44,34,56
Fervidobacterium,31,26,28
Thermosipho,9,9,29
Mesotoga,40,28,30
Kosmotoga,34,31,17
Marinitoga,17,14,21
Tepiditoga,16,21,12
Petrotoga,8,9,3
Defluviitoga,4,2,2
Oceanotoga,2,9,8
Athalassotoga,20,21,22
Persicimonas,1140,1152,1377
Bradymonas,450,431,499
Microvenator,171,190,207
Dissulfurimicrobium,56,46,43
Candidatus Bipolaricaulis,410,427,399
Candidatus Southlakia,35,17,21
Candidatus Saccharimonas,8,10,4
Candidatus Nanosynbacter,47,59,54
Candidatus Mycosynbacter,14,21,28
Candidatus Minimicrobia,NA,1,1
Candidatus Fervidibacter,58,60,48
Candidatus Absconditicoccus,16,9,10
Candidatus Chazhemtobacterium,7,10,10
Minisyncoccus,6,5,5
Candidatus Babela,3,7,11
Candidatus Chromulinivorax,1,3,2
Fusobacterium,73,64,90
Ilyobacter,22,15,34
Cetobacterium,3,7,11
Leptotrichia,25,41,23
Sneathia,6,2,1
Streptobacillus,4,2,4
Sebaldella,1,4,3
Pseudoleptotrichia,1,NA,5
Haliovirga,1,6,4
Haloarcula,2202,2286,2646
Halosimplex,1600,1840,2181
Natronomonas,1298,1375,1559
Halomicrobium,1219,1232,1436
Halomarina,1045,1059,1194
Haloglomus,978,1003,1099
Salinirubellus,791,802,898
Halorientalis,692,746,880
Halorarius,680,688,923
Halapricum,628,633,694
Halorhabdus,435,468,596
Halosegnis,383,368,426
Salinibaculum,320,372,463
Halococcoides,212,178,207
Halocatena,117,120,135
Halovenus,107,104,124
Halobaculum,2862,3011,3726
Halorubrum,2697,2737,3449
Haloplanus,1662,1618,1875
Haloferax,1132,1222,1378
Halorarum,781,835,922
Haloprofundus,778,725,870
Salinigranum,689,745,803
Halobellus,676,649,746
Halolamina,340,388,423
Halalkaliarchaeum,304,336,386
Halopenitus,234,242,329
Halogeometricum,108,133,154
Halohasta,87,72,90
Haloquadratum,11,15,13
Natrinema,2528,2554,2985
Haloterrigena,947,937,1147
Halovivax,822,820,1086
Natronococcus,818,793,979
Natronosalvus,701,724,852
Halosolutus,554,503,641
Natrarchaeobaculum,498,500,585
Natronorubrum,385,416,383
Halomontanus,348,376,435
Salinilacihabitans,338,330,437
Halopiger,293,263,319
Natronobeatus,281,275,325
Halovalidus,280,296,377
Natrononativus,259,295,375
Natribaculum,257,276,253
Halobiforma,256,259,300
Halostagnicola,163,154,196
Natrialba,137,147,157
Natronobacterium,133,121,154
Halorussus,1692,1832,2101
Haladaptatus,863,904,1010
Halomicrococcus,403,422,481
Halobacterium,1445,1516,1918
Halarchaeum,355,346,437
Salarchaeum,350,388,400
Halospeciosus,233,212,268
Halanaeroarchaeum,225,219,259
Halodesulfurarchaeum,86,123,128
Actinarchaeum,38,37,53
Halalkalicoccus,499,429,548
Halococcus,358,381,464
Salinarchaeum,460,478,559
Natranaeroarchaeum,141,103,140
Natronorarus,323,320,387
Methanoculleus,580,559,624
Methanofollis,454,494,491
Methanogenium,79,50,53
Methanolacinia,30,24,23
Methanoplanus,9,6,15
Methanoeremita,4,4,3
Methanochimaera,NA,6,1
Methanoregula,125,167,125
Methanosphaerula,66,67,71
Methanocorpusculum,40,36,29
Methanospirillum,32,35,40
Methanosarcina,308,272,253
Methanolobus,108,65,78
Methanococcoides,45,26,30
Methanimicrococcus,27,15,24
Methanohalophilus,25,18,12
Methanomethylovorans,20,19,22
Methanolapillus,14,9,12
Methanosalsum,3,NA,3
Methanohalobium,NA,2,3
Methanocella,302,263,317
Methanothrix,252,229,228
Candidatus Nanosalina,2,1,NA
Thermococcus,642,670,678
Pyrococcus,33,20,18
Palaeococcus,7,3,2
Methanothermobacter,50,39,38
Methanobacterium,43,46,34
Methanobrevibacter,41,12,21
Methanosphaera,6,9,6
Methanopyrus,65,67,77
Methanococcus,16,10,2
Methanothermococcus,4,4,2
Methanocaldococcus,11,14,7
Methanotorris,5,1,NA
Methanofervidicoccus,NA,1,3
Geoglobus,47,53,41
Archaeoglobus,23,33,38
Ferroglobus,6,8,9
Candidatus Methanoliparum,4,2,NA
Methanonatronarchaeum,2,4,8
Methanomethylophilus,51,41,43
Candidatus Methanoplasma,9,6,20
Methanomassiliicoccus,2,5,5
Thermoplasma,14,4,4
Oxyplasma,1,5,2
Ferroplasma,12,2,1
Acidiplasma,NA,2,3
Cuniculiplasma,3,3,5
Picrophilus,NA,2,1
Candidatus Aciduliprofundum,26,22,8
Nitrososphaera,4024,3494,1532
Candidatus Nitrosocosmicus,1009,658,323
Nitrosopumilus,252,152,55
Candidatus Nitrosomarinus,31,20,4
Nitrosarchaeum,14,20,7
Nitrosotalea,140,61,13
Candidatus Nitrosocaldus,67,38,22
Candidatus Nitrosotenuis,84,74,37
Candidatus Nitrosopelagicus,13,17,3
Conexivisphaera,93,66,61
Pyrobaculum,131,107,158
Thermoproteus,121,101,93
Vulcanisaeta,13,8,18
Caldivirga,NA,1,2
Pyrodictium,78,71,49
Pyrolobus,9,13,9
Pyrofollis,8,4,6
Hyperthermus,4,14,10
Aeropyrum,35,21,25
Ignicoccus,32,14,19
Thermogladius,11,17,16
Desulfurococcus,9,11,22
Thermosphaera,5,6,5
Staphylothermus,4,1,2
Saccharolobus,47,28,19
Metallosphaera,17,20,16
Sulfodiicoccus,17,10,6
Sulfuracidifex,11,7,5
Acidianus,9,8,11
Sulfurisphaera,5,5,6
Stygiolobus,4,7,9
Sulfolobus,3,5,7
Infirmifilum,31,36,45
Thermofilum,23,26,28
Acidilobus,48,42,48
Caldisphaera,NA,1,1
Fervidicoccus,2,NA,3
Candidatus Korarchaeum,5,7,5
Candidatus Mancarchaeum,11,3,2
Candidatus Micrarchaeum,7,3,2
Candidatus Nanohalobium,7,NA,6
Candidatus Nanohalococcus,4,2,3
Candidatus Nanohalovita,NA,1,3
Nanobdella,2,NA,NA
Promethearchaeum,5,10,7
Homo,8243,7609,9784
Naegleria,1,NA,1
Anayavirus,42,43,61
Kratiovirus,11,6,9
Unicornvirus,11,9,13
Amginevirus,10,13,9
Fionnbharthvirus,6,9,12
Keshuvirus,5,10,11
Aminayvirus,4,7,2
Timquatrovirus,2,5,7
Coopervirus,26,32,19
Quesadillavirus,16,9,12
Acadianvirus,12,6,4
Thonkovirus,5,NA,6
Pipefishvirus,4,17,14
Birdsnestvirus,4,4,3
Julieunavirus,4,8,14
Pegunavirus,2,8,9
Rosebushvirus,2,10,5
Imvubuvirus,1,2,9
Lilmcdreamyvirus,1,NA,7
Saguarovirus,1,1,6
Likavirus,22,46,41
Camvirus,10,8,9
Caelumvirus,9,4,4
Celiavirus,7,9,7
Arequatrovirus,4,2,6
Salutenavirus,3,1,6
Janusvirus,2,1,4
Omarvirus,2,4,8
Yosifvirus,2,1,2
Hautrevirus,1,2,2
Sentinelvirus,NA,1,3
Colossusvirus,27,35,35
Poindextervirus,19,16,18
Bertelyvirus,12,16,21
Shapirovirus,4,20,13
Ghunavirus,2,1,1
Przondovirus,1,NA,1
Warsawvirus,1,NA,NA
Teseptimavirus,1,2,NA
Kayfunavirus,NA,1,4
Teetrevirus,NA,1,NA
Pifdecavirus,NA,1,NA
Caroctavirus,NA,NA,1
Berlinvirus,NA,NA,1
Pradovirus,3,1,1
Powvirus,3,NA,NA
Risjevirus,2,NA,3
Higashivirus,1,NA,2
Ampunavirus,NA,NA,1
Mguuvirus,NA,1,NA
Sukuvirus,NA,2,3
Pollyceevirus,3,1,NA
Murciavirus,2,NA,NA
Uliginvirus,NA,NA,2
Kembevirus,2,NA,2
Phikmvvirus,2,2,2
Stubburvirus,NA,1,1
Cronosvirus,2,1,1
Aerosvirus,NA,1,4
Serkorvirus,1,NA,NA
Krakvirus,1,NA,3
Ayakvirus,1,1,1
Jiaoyazivirus,1,NA,NA
Pairvirus,1,2,1
Voetvirus,1,2,NA
Napahaivirus,1,NA,NA
Waewaevirus,1,1,2
Igirivirus,1,3,3
Piedvirus,NA,NA,2
Pekhitvirus,NA,NA,1
Youngvirus,NA,NA,1
Oinezvirus,NA,1,NA
Anchaingvirus,NA,1,NA
Cuernavacavirus,NA,1,NA
Acadevirus,NA,NA,1
Axomammavirus,NA,1,NA
Eracentumvirus,NA,NA,2
Stompvirus,NA,1,1
Bifseptvirus,NA,NA,1
Lirvirus,NA,NA,1
Kalppathivirus,NA,1,1
Kafavirus,NA,1,NA
Silviavirus,19,3,14
Kayvirus,1,NA,3
Sciuriunavirus,NA,1,NA
Caeruleovirus,4,4,NA
Wphvirus,2,1,3
Nitunavirus,1,NA,NA
Agatevirus,NA,2,1
Bequatrovirus,NA,2,NA
Bastillevirus,NA,NA,2
Shalavirus,NA,1,NA
Schiekvirus,1,NA,1
Pecentumvirus,1,NA,4
Siminovitchvirus,NA,NA,1
Mooreparkvirus,NA,NA,1
Jolieduovirus,11,6,8
Liefievirus,7,5,4
Antsirabevirus,5,3,4
Pinnievirus,5,NA,6
Avocadovirus,3,4,6
Nodensvirus,19,7,6
Acionnavirus,2,2,NA
Sokavirus,2,2,1
Shenzhenivirus,1,NA,NA
Serangoonvirus,1,NA,NA
Scyllavirus,1,NA,NA
Neptunevirus,1,NA,1
Potamoivirus,NA,NA,1
Nilusvirus,NA,NA,2
Ormenosvirus,NA,NA,1
Bristolvirus,NA,NA,2
Huanghaivirus,NA,1,NA
Yellowseavirus,NA,2,1
Bellamyvirus,NA,1,NA
Charybdisvirus,NA,NA,2
Pontusvirus,NA,1,NA
Salacisavirus,NA,1,NA
Tamkungvirus,NA,NA,1
Thaumasvirus,NA,1,NA
Vellamovirus,NA,1,NA
Ronodorvirus,NA,NA,1
Abidjanvirus,7,1,5
Bosavirus,7,8,13
Epaquintavirus,1,NA,NA
Xooduovirus,1,NA,2
Vojvodinavirus,3,1,3
Yuavirus,1,6,NA
Keylargovirus,1,NA,NA
Kablunavirus,7,4,3
Foxborovirus,5,9,11
Sukkupivirus,4,5,2
Gruunavirus,3,2,4
Pleakleyvirus,NA,NA,3
Skysandvirus,NA,NA,2
Chunghsingvirus,1,NA,1
Ceetrepovirus,NA,NA,2
Mementomorivirus,21,18,24
Dexdertvirus,21,51,28
Yangvirus,11,18,13
Manhattanvirus,5,5,6
Galvastonvirus,3,3,2
Liebevirus,1,2,NA
Attisvirus,20,11,9
Bixzunavirus,14,4,14
Myrnavirus,6,8,24
Fromanvirus,18,27,26
Varunavirus,6,3,2
Gamaleyavirus,3,2,2
Moovirus,1,NA,1
Zurivirus,2,NA,NA
Pokkenvirus,2,8,9
Johnsonvirus,1,NA,1
Pylasvirus,1,NA,NA
Waedenswilvirus,1,NA,NA
Eceepunavirus,1,NA,NA
Philippevirus,NA,NA,1
Littlefixvirus,NA,1,NA
Huelvavirus,NA,2,NA
Dendoorenvirus,NA,NA,1
Litunavirus,NA,3,1
Tegunavirus,2,NA,NA
Tequatrovirus,1,6,6
Karamvirus,1,NA,NA
Mosigvirus,1,1,1
Dhakavirus,1,1,2
Kanagawavirus,1,NA,NA
Gelderlandvirus,NA,1,NA
Gaprivervirus,NA,NA,1
Jiaodavirus,NA,NA,2
Mylasvirus,1,1,NA
Slopekvirus,1,NA,NA
Gualtarvirus,1,1,NA
Chrysonvirus,1,NA,NA
Pseudotevenvirus,NA,1,NA
Acajnonavirus,NA,NA,1
Hadassahvirus,NA,1,1
Lazarusvirus,NA,1,NA
Ishigurovirus,NA,1,NA
Tulanevirus,NA,1,2
Woodruffvirus,14,15,9
Quhwahvirus,13,14,30
Jujuvirus,13,10,14
Purkyvirus,4,NA,3
Fishburnevirus,2,2,2
Phayoncevirus,2,2,1
Tortellinivirus,2,1,3
Bignuzvirus,1,5,2
Nymphadoravirus,10,3,4
Baxterfoxvirus,1,NA,3
Paopuvirus,10,9,10
Bonaevitaevirus,1,1,NA
Efekovirus,1,4,4
Vividuovirus,12,18,13
Leonardvirus,12,15,8
Dismasvirus,12,13,24
Sanovirus,3,NA,NA
Ahduovirus,1,3,5
Zhonglingvirus,1,1,NA
Phobosvirus,1,2,2
Gediminasvirus,1,NA,2
Dunedinvirus,1,2,4
Chivirus,1,1,2
Nazgulvirus,1,1,NA
Yonseivirus,1,2,1
Newforgelanevirus,NA,NA,1
Sharonstreetvirus,NA,2,3
Sessunavirus,NA,1,2
Seodaemunguvirus,NA,NA,1
Salvovirus,NA,NA,2
Jacunavirus,NA,NA,2
Fengtaivirus,NA,NA,3
Enchivirus,NA,NA,1
Appavirus,11,19,8
Pamexvirus,11,6,14
Veracruzvirus,11,3,3
Kroosvirus,11,7,15
Samistivirus,2,1,1
Karimacvirus,2,NA,3
Coruscantvirus,1,NA,NA
Annadreamyvirus,2,NA,1
Gilsonvirus,2,4,12
Faustvirus,NA,NA,1
Haloferacalesvirus,3,7,2
Minorvirus,3,1,1
Mincapvirus,2,NA,2
Tredecimvirus,1,NA,1
Hacavirus,NA,2,2
Hagravirus,NA,1,1
Lessievirus,9,7,17
Innesvirus,6,5,11
Trinifflemingvirus,2,NA,4
Emnonavirus,NA,NA,3
Beenievirus,8,10,4
Rosariovirus,8,5,2
Jerseyvirus,2,2,1
Kagunavirus,NA,1,NA
Burrovirus,8,3,10
Cheoctovirus,7,8,7
Avanivirus,NA,1,NA
Squirtyvirus,NA,NA,1
Thetabobvirus,NA,1,NA
Moomoovirus,NA,1,1
Pukovnikvirus,7,3,6
Alexandravirus,7,9,15
Pulverervirus,6,2,6
Lilbeanievirus,6,3,1
Puppervirus,6,8,15
Gervaisevirus,6,7,5
Reyvirus,2,3,8
Bongovirus,2,3,4
Bromdenvirus,1,NA,NA
Lumosvirus,1,2,1
Bronvirus,NA,3,NA
Faithunavirus,NA,1,5
Wildcatvirus,NA,2,NA
Kumaovirus,NA,NA,1
Zitchvirus,6,5,4
Lanavirus,6,3,3
Kostyavirus,6,9,6
Badaguanvirus,2,NA,NA
Webervirus,2,4,7
Hanrivervirus,1,NA,NA
Tlsvirus,NA,NA,2
Rtpvirus,NA,NA,1
Rogunavirus,NA,2,NA
Vilniusvirus,NA,NA,1
Omegavirus,5,2,4
Korravirus,5,1,3
Phabquatrovirus,5,2,13
Montyvirus,5,1,5
Vequintavirus,5,3,1
Seunavirus,NA,NA,2
Henunavirus,NA,NA,2
Phistoryvirus,5,1,NA
Getalongvirus,NA,1,4
Chidieberevirus,4,NA,NA
Sheenvirus,4,NA,NA
Veewebvirus,4,2,5
Picardvirus,4,5,3
Schmittlotzvirus,4,3,NA
Bendigovirus,4,NA,NA
Turbidovirus,4,9,14
Kairosalinivirus,4,3,3
Rerduovirus,4,2,1
Marthavirus,4,9,5
Ponsvirus,4,1,1
Corndogvirus,4,3,5
Charlievirus,4,13,10
Pahsextavirus,2,NA,NA
Carltongylesvirus,1,NA,NA
Shantouvirus,1,NA,NA
Vendettavirus,1,1,2
Catfishvirus,1,2,2
Dardanusvirus,1,NA,NA
Schmidtvirus,1,NA,NA
Gesputvirus,NA,2,NA
Tinalinvirus,NA,2,2
Fairfaxidumvirus,4,3,1
Sarumanvirus,4,2,9
Trigintaduovirus,4,5,8
Kahnovirus,1,NA,NA
Pipoluvirus,1,NA,NA
Akihdevirus,NA,1,NA
Kehishuvirus,NA,NA,1
Lahndsivirus,NA,2,NA
Lebriduvirus,NA,NA,1
Delmidovirus,1,NA,NA
Carjivirus,NA,NA,1
Cohcovirus,1,NA,NA
Cacepaovirus,NA,NA,1
Aurodevirus,NA,1,NA
Capnelvirus,4,1,1
Menderavirus,4,1,5
Luchadorvirus,4,NA,NA
Kuttervirus,1,4,1
Taipeivirus,1,1,NA
Agtrevirus,NA,1,1
Nezavisimistyvirus,NA,1,NA
Tedavirus,NA,2,3
Vapseptimavirus,NA,NA,1
Sparkyvirus,3,3,NA
Apricotvirus,3,1,NA
Justusliebigvirus,2,1,NA
Phapecoctavirus,1,NA,NA
Forzavirus,3,2,1
Armstrongvirus,3,1,3
Soupsvirus,3,1,5
Attoomivirus,3,NA,1
Schnabeltiervirus,3,3,3
Rogerhendrixvirus,3,4,5
Stormageddonvirus,3,3,2
Chiangmaivirus,3,2,4
Zetavirus,3,4,5
Phrappuccinovirus,3,NA,4
Sonalivirus,3,1,1
Ruthyvirus,3,6,NA
Skogvirus,3,2,1
Northamptonvirus,3,4,1
Kisquattuordecimvirus,2,2,7
Aresaunavirus,1,NA,NA
Aptresvirus,NA,NA,3
Kayeltresvirus,NA,1,NA
Bielevirus,NA,3,NA
Catalunyavirus,NA,1,NA
Senquatrovirus,NA,1,NA
Yvonnevirus,3,2,2
Bridgettevirus,3,1,4
Privateervirus,3,1,NA
Hedwigvirus,3,1,2
Betterkatzvirus,2,2,1
Seussvirus,2,2,1
Dhillonvirus,2,1,2
Sidiousvirus,2,NA,NA
Epseptimavirus,1,NA,NA
Tequintavirus,NA,1,2
Hongcheonvirus,1,NA,NA
Cetovirus,NA,NA,1
Pogseptimavirus,NA,2,NA
Wizardvirus,2,4,17
Xipdecavirus,2,1,2
Barnyardvirus,2,1,2
Finchvirus,2,1,1
Zukovirus,2,2,1
Manuelvirus,2,NA,NA
Flowerpowervirus,NA,NA,1
Immanueltrevirus,NA,NA,1
Eyrevirus,2,2,4
Tinytimothyvirus,2,NA,NA
Akonivirus,NA,2,2
Naesvirus,2,NA,3
Typhavirus,2,1,1
Eagleeyevirus,2,1,NA
Wolominvirus,2,NA,NA
Ilzatvirus,2,2,1
Erskinevirus,2,NA,NA
Marvinvirus,2,2,2
Mufasoctovirus,2,2,2
Kochitakasuvirus,2,NA,1
Pormufvirus,2,NA,2
Austintatiousvirus,2,3,7
Howevirus,2,1,3
Moabitevirus,2,NA,1
Yokohamavirus,2,NA,NA
Mollymurvirus,2,2,6
