name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Candidatus Methylopumilus,26,28,32
Methyloradius,12,15,26
Chromobacterium,3222,3466,4245
Paludibacterium,732,663,900
Pseudogulbenkiania,445,494,652
Vogesella,416,431,614
Aquitalea,293,387,476
Chitinimonas,1355,1465,1877
Jeongeupia,815,750,1099
Chitiniphilus,729,696,1003
Chitinolyticbacter,381,352,493
Chitinibacter,208,216,282
Silvimonas,109,114,110
Deefgea,73,66,90
Iodobacter,64,48,44
Neisseria,1167,1203,1338
Crenobacter,710,693,850
Vitreoscilla,232,262,354
Kingella,126,136,193
Uruburuella,112,99,127
Eikenella,109,101,161
Conchiformibius,72,67,76
Paralysiella,55,53,62
Bergeriella,53,73,82
Snodgrassella,49,44,48
Alysiella,25,15,20
Simonsiella,14,12,15
Morococcus,12,4,6
Wielerella,11,16,24
Aquella,4,8,1
Microvirgula,345,342,480
Laribacter,288,288,356
Aquaspirillum,157,143,195
Candidatus Accumulibacter,979,787,975
Chitinivorax,501,475,646
Casimicrobium,474,510,667
Candidatus Kinetoplastibacterium,12,6,6
Candidatus Profftella,2,1,1
Candidatus Nasuia,NA,2,1
Ferrovum,74,61,82
Pseudomonas,59630,61078,73499
Stutzerimonas,3134,3194,3754
Metapseudomonas,2258,2065,2269
Azotobacter,1195,1634,1292
Azorhizophilus,101,106,132
Halopseudomonas,1451,1509,1853
Ectopseudomonas,895,890,991
Aquipseudomonas,639,663,830
Geopseudomonas,280,259,341
Phytopseudomonas,226,257,251
Permianibacter,87,126,164
Entomomonas,23,27,20
Denitrificimonas,16,20,16
Thiopseudomonas,13,24,23
Marinobacter,2520,2437,2803
Ketobacter,58,62,70
Pseudohongiella,48,47,61
Lysobacter,10673,11078,19519
Xanthomonas,9940,10352,13946
Stenotrophomonas,7400,7783,10394
Pseudoxanthomonas,4772,5279,7196
Luteimonas,4508,4792,6525
Thermomonas,1559,1713,2369
Agrilutibacter,1054,1220,2115
Marilutibacter,765,816,1076
Novilysobacter,534,480,625
Arenimonas,457,443,580
Pseudoluteimonas,305,332,495
Pseudolysobacter,286,299,409
Solilutibacter,273,259,342
Xylella,81,85,121
Noviluteimonas,NA,1,NA
Rhodanobacter,2753,2895,3775
Luteibacter,2734,2785,3602
Dyella,2646,2614,3511
Tahibacter,1324,1342,2049
Dokdonella,941,950,1353
Frateuria,893,1018,1328
Aerosticca,420,457,563
Ahniella,324,306,364
Metallibacterium,25,30,29
Klebsiella,1761,1753,2080
Raoultella,403,351,459
Enterobacter,2151,2092,2560
Citrobacter,858,888,948
Cronobacter,488,544,656
Kosakonia,466,515,561
Leclercia,466,498,555
Escherichia,353,394,432
Cedecea,309,274,378
Pluralibacter,308,288,404
Salmonella,290,286,303
Kluyvera,243,218,281
Lelliottia,140,146,192
Symbiopectobacterium,37,69,52
Candidatus Hamiltonella,13,11,8
Candidatus Regiella,9,7,5
Candidatus Blochmanniella,12,9,21
Candidatus Westeberhardia,2,1,2
Candidatus Doolittlea,10,7,7
Candidatus Gullanella,6,4,1
Candidatus Tachikawaea,3,NA,1
Candidatus Hoaglandella,2,1,2
Candidatus Purcelliella,1,1,NA
Candidatus Mikella,1,NA,NA
Candidatus Annandia,NA,1,NA
Pseudescherichia,96,113,110
Siccibacter,88,88,93
Atlantibacter,88,82,116
Pseudocitrobacter,83,87,70
Franconibacter,74,70,79
Jejubacter,73,49,70
Buttiauxella,72,71,105
Superficieibacter,69,68,76
Plesiomonas,69,51,76
Candidatus Moranella,66,55,34
Shimwellia,60,48,64
Scandinavium,54,46,53
Yokenella,39,35,60
Trabulsiella,39,41,40
Phytobacter,33,38,53
Shigella,29,35,45
Mangrovibacter,21,17,29
Candidatus Profftia,3,11,3
Candidatus Ishikawella,2,3,2
Candidatus Schneideria,1,NA,NA
Candidatus Riesia,1,1,2
Candidatus Curculioniphilus,NA,1,5
Serratia,2708,2608,3336
Yersinia,356,355,414
Rahnella,214,241,313
Gibbsiella,153,159,157
Nissabacter,143,156,194
Rouxiella,139,155,183
Chimaeribacter,97,97,130
Ewingella,51,56,60
Chania,27,35,34
Candidatus Fukatsuia,8,15,15
Pantoea,2191,2118,2664
Erwinia,823,899,990
Mixta,238,241,306
Buchnera,82,84,98
Tatumella,53,53,53
Paramixta,52,27,30
Duffyella,49,65,83
Winslowiella,27,23,32
Wigglesworthia,22,18,20
Dickeya,780,785,936
Pectobacterium,626,627,721
Brenneria,292,296,308
Lonsdalea,110,138,157
Musicola,89,74,77
Prodigiosinella,5,3,6
Sodalis,666,658,832
Edwardsiella,514,525,598
Hafnia,85,72,83
Obesumbacterium,15,14,10
Xenorhabdus,170,169,144
Providencia,168,166,163
Morganella,94,127,166
Proteus,82,70,79
Photorhabdus,43,43,53
