name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Closteroviridae,NA,NA,2
Virgaviridae,NA,1,NA
Gammaflexiviridae,NA,NA,1
Alphaflexiviridae,NA,NA,1
Betaflexiviridae,NA,2,1
Sinhaliviridae,1,NA,NA
Tombusviridae,NA,1,NA
Rhabdoviridae,3,5,6
Paramyxoviridae,1,NA,1
Mymonaviridae,1,NA,2
Filoviridae,NA,NA,1
Bornaviridae,NA,NA,1
Lispiviridae,NA,1,NA
Peribunyaviridae,2,NA,1
Arenaviridae,1,NA,1
Fimoviridae,NA,1,1
Hantaviridae,NA,1,NA
Nairoviridae,NA,NA,1
Phasmaviridae,NA,NA,1
Tospoviridae,NA,NA,1
Totiviridae,2,NA,NA
Alternaviridae,NA,NA,1
Spinareoviridae,1,5,1
Sedoreoviridae,NA,NA,1
Cystoviridae,1,NA,NA
Retroviridae,1,NA,1
Caulimoviridae,NA,1,1
Hepadnaviridae,NA,1,3
Polymycoviridae,NA,NA,1
Baculoviridae,44,51,60
Nudiviridae,3,5,3
Hytrosaviridae,2,NA,NA
Polydnaviriformidae,1,4,8
Bicaudaviridae,NA,NA,1
Papillomaviridae,3,4,7
Parvoviridae,2,2,3
Vilyaviridae,1,2,NA
Smacoviridae,NA,1,NA
Geminiviridae,NA,4,NA
Genomoviridae,NA,NA,1
Inoviridae,4,3,NA
Pleolipoviridae,2,1,NA
Microviridae,NA,NA,1
Sphaerolipoviridae,5,3,8
Matshushitaviridae,1,1,1
Simuloviridae,NA,NA,1
Rudiviridae,1,NA,NA
Lipothrixviridae,NA,1,NA
Tristromaviridae,NA,NA,1
